rank,major,degree_type,early_career_pay,mid_career_pay,high_meaning_pct,total_tuition_cost,salary_advantage,years_to_break_even,lifetime_advantage,category
343,City & Regional Planning,Bachelors,61600.0,100200.0,69.0,106372,21600.0,4.92462962962963,1915628.0,Other
345,Advertising & Marketing,Bachelors,57000.0,99800.0,39.0,106372,17000.0,6.257176470588235,1857628.0,Business & Economics
346,Aviation Maintenance Technology,Bachelors,59000.0,99700.0,62.0,106372,19000.0,5.598526315789473,1874628.0,Other
346,English Literature,Bachelors,55600.0,99700.0,46.0,106372,15600.0,6.818717948717949,1840628.0,Humanities & Social Sciences
346,Urban Studies,Bachelors,59500.0,99700.0,60.0,106372,19500.0,5.454974358974359,1879628.0,Other
346,Agricultural Science,Bachelors,55100.0,99700.0,51.0,106372,15100.0,7.044503311258278,1835628.0,Sciences & Mathematics
350,Management,Bachelors,59800.0,99600.0,49.0,106372,19800.0,5.372323232323232,1879628.0,Business & Economics
351,History & Politics,Bachelors,56500.0,99400.0,59.0,106372,16500.0,6.4467878787878785,1840628.0,Humanities & Social Sciences
351,Human Biology,Bachelors,59500.0,99400.0,72.0,106372,19500.0,5.454974358974359,1870628.0,Sciences & Mathematics
353,Automotive Technology,Bachelors,57300.0,99300.0,52.0,106372,17300.0,6.148670520231214,1845628.0,Other
353,Fashion Design,Bachelors,55500.0,99300.0,28.0,106372,15500.0,6.862709677419355,1827628.0,Arts & Communications
353,Magazine Journalism,Bachelors,56400.0,99300.0,38.0,106372,16400.0,6.48609756097561,1836628.0,Other
356,Textile Technology,Bachelors,62300.0,99200.0,39.0,106372,22300.0,4.770044843049328,1892628.0,Other
356,American History (United States),Bachelors,60700.0,99200.0,51.0,106372,20700.0,5.138743961352657,1876628.0,Humanities & Social Sciences
356,Architectural Technology,Bachelors,57400.0,99200.0,60.0,106372,17400.0,6.113333333333333,1843628.0,Other
359,Organizational Development,Bachelors,62300.0,99100.0,57.0,106372,22300.0,4.770044843049328,1889628.0,Other
360,Business Administration,Bachelors,62100.0,99000.0,51.0,106372,22100.0,4.813212669683258,1884628.0,Business & Economics
360,Interior Architecture,Bachelors,55300.0,99000.0,49.0,106372,15300.0,6.952418300653595,1816628.0,Other
360,Journalism & Mass Communication,Bachelors,54500.0,99000.0,45.0,106372,14500.0,7.336,1808628.0,Arts & Communications
363,Business Administration & Accounting,Bachelors,61600.0,98900.0,54.0,106372,21600.0,4.92462962962963,1876628.0,Business & Economics
364,Environmental & Natural Resource Economics,Bachelors,60600.0,98800.0,66.0,106372,20600.0,5.163689320388349,1863628.0,Business & Economics
365,Neuroscience,Bachelors,60900.0,98700.0,60.0,106372,20900.0,5.089569377990431,1863628.0,Sciences & Mathematics
366,Business Management,Bachelors,60800.0,98600.0,52.0,106372,20800.0,5.1140384615384615,1859628.0,Business & Economics
367,Computer Aided Drafting & Design (CADD),Bachelors,58000.0,98400.0,51.0,106372,18000.0,5.9095555555555555,1825628.0,Engineering & Technology
367,Drama,Bachelors,57300.0,98400.0,43.0,106372,17300.0,6.148670520231214,1818628.0,Other
369,Bachelor in Science Nursing,Bachelors,78500.0,98300.0,87.0,106372,38500.0,2.762909090909091,2027628.0,Sciences & Mathematics
370,Linguistics,Bachelors,60800.0,98200.0,43.0,106372,20800.0,5.1140384615384615,1847628.0,Other
371,Communication,Bachelors,56900.0,98100.0,46.0,106372,16900.0,6.2942011834319525,1805628.0,Arts & Communications
371,Nursing Science,Bachelors,77900.0,98100.0,84.0,106372,37900.0,2.8066490765171506,2015628.0,Sciences & Mathematics
371,Writing,Bachelors,51400.0,98100.0,45.0,106372,11400.0,9.330877192982456,1750628.0,Other
374,French Language,Bachelors,57800.0,98000.0,48.0,106372,17800.0,5.975955056179775,1811628.0,Humanities & Social Sciences
375,Integrated Marketing Communications,Bachelors,55100.0,97900.0,37.0,106372,15100.0,7.044503311258278,1781628.0,Business & Economics
376,Architectural Design,Bachelors,52000.0,97600.0,57.0,106372,12000.0,8.864333333333333,1741628.0,Arts & Communications
377,Logistics Management,Bachelors,67900.0,97500.0,38.0,106372,27900.0,3.8126164874551973,1897628.0,Business & Economics
377,Natural Sciences,Bachelors,51600.0,97500.0,57.0,106372,11600.0,9.17,1734628.0,Sciences & Mathematics
377,Public Affairs,Bachelors,61100.0,97500.0,51.0,106372,21100.0,5.04132701421801,1829628.0,Other
380,Journalism,Bachelors,54200.0,97400.0,44.0,106372,14200.0,7.490985915492958,1757628.0,Other
380,Technical Management,Bachelors,74800.0,97400.0,68.0,106372,34800.0,3.0566666666666666,1963628.0,Business & Economics
380,General Science,Bachelors,58300.0,97400.0,59.0,106372,18300.0,5.812677595628415,1798628.0,Sciences & Mathematics
383,French Studies,Bachelors,60700.0,97300.0,59.0,106372,20700.0,5.138743961352657,1819628.0,Other
383,Marketing & Mass Communications,Bachelors,56500.0,97300.0,40.0,106372,16500.0,6.4467878787878785,1777628.0,Business & Economics
383,Biology & Chemistry,Bachelors,57300.0,97300.0,66.0,106372,17300.0,6.148670520231214,1785628.0,Sciences & Mathematics
386,Digital Media,Bachelors,53200.0,97200.0,38.0,106372,13200.0,8.058484848484849,1741628.0,Arts & Communications
387,Professional & Technical Writing,Bachelors,57300.0,96900.0,47.0,106372,17300.0,6.148670520231214,1773628.0,Other
387,Public Relations & Communication,Bachelors,53200.0,96900.0,49.0,106372,13200.0,8.058484848484849,1732628.0,Arts & Communications
389,Textile Design,Bachelors,58400.0,96800.0,36.0,106372,18400.0,5.781086956521739,1781628.0,Arts & Communications
390,Finance & Marketing,Bachelors,69100.0,96700.0,42.0,106372,29100.0,3.6553951890034364,1885628.0,Business & Economics
390,Law,Bachelors,61600.0,96700.0,52.0,106372,21600.0,4.92462962962963,1810628.0,Other
392,Nursing,Bachelors,75300.0,96600.0,82.0,106372,35300.0,3.0133711048158642,1944628.0,Health & Medicine
392,Organizational Communication,Bachelors,54100.0,96600.0,49.0,106372,14100.0,7.544113475177305,1732628.0,Arts & Communications
394,Architectural Studies,Bachelors,52500.0,96500.0,38.0,106372,12500.0,8.50976,1713628.0,Other
394,Global Business,Bachelors,65400.0,96500.0,31.0,106372,25400.0,4.187874015748031,1842628.0,Business & Economics
394,Hydrology,Bachelors,53000.0,96500.0,,106372,13000.0,8.182461538461538,1718628.0,Other
394,Literature,Bachelors,54800.0,96500.0,45.0,106372,14800.0,7.187297297297297,1736628.0,Humanities & Social Sciences
394,Agriculture,Bachelors,55100.0,96500.0,61.0,106372,15100.0,7.044503311258278,1739628.0,Other
399,Physiology,Bachelors,57100.0,96300.0,66.0,106372,17100.0,6.2205847953216376,1753628.0,Other
400,Music Technology,Bachelors,53000.0,96200.0,39.0,106372,13000.0,8.182461538461538,1709628.0,Arts & Communications
400,Pre-Medicine,Bachelors,59100.0,96200.0,69.0,106372,19100.0,5.569214659685864,1770628.0,Health & Medicine
400,Web & Digital Media Development,Bachelors,62700.0,96200.0,37.0,106372,22700.0,4.6859911894273125,1806628.0,Arts & Communications
